61,Harvard Student Agencies,,http://www.hsa.net/,Student Activities,,,,
8,APO Home | Advising Programs Office,,http://apo.fas.harvard.edu/icb/icb.do,Academics,Advising,,,
9,Resources for Students | Advising Programs Office,,http://apo.fas.harvard.edu/icb/icb.do?keyword=k73580&tabgroupid=icb.tabgroup141939,Academics,Advising,,,
12,CS50 Classes,,https://courses.cs50.net/,Academics,Choosing Classes,,,
13,Harvard Q | Home,,http://www.fas.harvard.edu/~evals/,Academics,Choosing Classes,,,
14,Welcome Handbook for Students 2013-2014,,http://handbook.fas.harvard.edu/,Academics,Advising,,,
15,Fields of Concentration Handbook for Students 2013-2014,,http://handbook.fas.harvard.edu/icb/icb.do?keyword=k95151&tabgroupid=icb.tabgroup162935,Academics,Concentrations and Secondary Fields,,,
16,Secondary Fields Handbook for Students 2013-2014,,http://handbook.fas.harvard.edu/icb/icb.do?keyword=k95151&tabgroupid=icb.tabgroup162936,Academics,Concentrations and Secondary Fields,,,
17,Program in General Education Handbook for Students 2013-2014,,http://handbook.fas.harvard.edu/icb/icb.do?keyword=k95151&pageid=icb.page584253#a_icb_pagecontent1262131_1,Academics,General Education Information,,,
18,Homepage | Program in General Education,,http://www.generaleducation.fas.harvard.edu/,Academics,General Education Information,,,
19,Harvard Class,,http://www.harvard-class.com/,Academics,Choosing Classes,,,
20,Five Year Calendar | FAS Registrar,,http://www.registrar.fas.harvard.edu/calendar/five-year-calendar,Academics,Administrivia,,,
21,Examination Scheduling Handbook for Students 2013-2014,,http://handbook.fas.harvard.edu/icb/icb.do?keyword=k95151&pageid=icb.page584318,Academics,Administrivia,,,
22,Academic Information Handbook for Students 2013-2014,,http://handbook.fas.harvard.edu/icb/icb.do?keyword=k95151&tabgroupid=icb.tabgroup162915,Academics,Administrivia,,,
23,Advanced Standing Office,,http://oue.fas.harvard.edu/icb/icb.do?keyword=k18059&pageid=icb.page498268&pageContentId=icb.pagecontent1080009&view=view.do&viewParam_name=advancedstanding.html#a_icb_pagecontent1080009,Academics,Other,,,
24,Independent Study Guidelines,,http://apo.fas.harvard.edu/fs/docs/icb.topic823899.files/Ind_Stdy.Sp11.pdf,Academics,Other,,,
25,Language Requirements Handbook for Students 2013-2014,,http://isites.harvard.edu/icb/icb.do?keyword=k88702&pageid=icb.page516369&pageContentId=icb.pagecontent1104788&state=maximize&view=view.do&viewParam_name=Other%20Requirements#a_icb_pagecontent1104788_,Academics,Other,,,
26,Grades and Honors Handbook for Students 2013-2014,,http://handbook.fas.harvard.edu/icb/icb.do?keyword=k95151&tabgroupid=icb.tabgroup162919,Academics,Other,,,
27,Citations in a Foreign Language,,http://handbook.fas.harvard.edu/icb/icb.do?keyword=k95151&pageid=icb.page584302#a_icb_pagecontent1262209_5,Academics,Other,,,
28,Office of International Education,,http://oie.fas.harvard.edu/home,Academics,Other,,,
29,Writing Center,,http://writingcenter.fas.harvard.edu/,Academics,Other,,,
30,Courses of Instruction | FAS Registrar,,http://www.registrar.fas.harvard.edu/courses-exams/courses-instruction?cat=ugrad&subcat=courses,Academics,Choosing Classes,,,
31,Harvard University Police Department,,http://www.hupd.harvard.edu/,Health and Safety,Immediate Crisis,,,
32,Harvard University Health Services,,http://huhs.harvard.edu/Home.aspx,Health and Safety,Immediate Crisis,,,
33,Harvard University Health Services | Health Services | Student Mental Health Services,,http://huhs.harvard.edu/HealthServices/StudentMentalHealthServices.aspx,Health and Safety,Mental Health and Wellness,,,
34,Office of Sexual Assault Prevention and Response,,http://osapr.harvard.edu/,Health and Safety,Mental Health and Wellness,,,
35,Bureau of Study Counsel,,http://bsc.harvard.edu/icb/icb.do,Health and Safety,Mental Health and Wellness,Academics,Advising,
